번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
41,002070,남영비비안,"3,660",65,2019/10/22,2019/10/23,2019/11/06
40,003060,에이프로젠제약,"1,315",15,2019/10/11,2019/10/14,2019/10/28
39,001799,대한제당3우B,-,-,2019/09/24,2019/09/25,2019/10/11
38,014580,백광소재,"3,880",50,2019/09/20,2019/09/23,2019/10/08
37,033250,체시스,"1,855",10,2019/09/19,2019/09/20,2019/10/15
36,009810,엔케이물산,550,-10,2019/09/16,2019/09/17,2019/10/01
35,010660,화천기계,"2,625",-70,2019/09/05,2019/09/06,2019/09/24
34,000145,하이트진로홀딩스우,"14,700",150,2019/08/21,2019/08/22,2019/09/05
33,074610,나노메딕스,"3,490",30,2019/08/14,2019/08/16,2019/08/30
32,005390,신성통상,"1,670",30,2019/08/08,2019/08/09,2019/08/26
31,000145,하이트진로홀딩스우,"14,700",150,2019/07/30,2019/07/31,2019/08/06
30,002070,남영비비안,"3,660",65,2019/07/25,2019/07/26,2019/08/19
29,000145,하이트진로홀딩스우,"14,700",150,2019/07/09,2019/07/10,2019/07/24
28,001140,국보,"1,730",-85,2019/06/20,2019/06/21,2019/07/12
27,093230,이아이디,362,1,2019/06/12,2019/06/13,2019/07/04
26,014580,백광소재,"3,880",50,2019/06/10,2019/06/11,2019/06/25
25,099350,하나니켈2호,-,-,2019/05/23,2019/05/24,2019/06/10
24,004270,남성,"4,055",-155,2019/05/15,2019/05/16,2019/05/30
23,012800,대창,"1,325",15,2019/05/15,2019/05/16,2019/05/30
22,18064K,한진칼우,"44,900",-400,2019/05/10,2019/05/13,2019/05/27
21,002787,진흥기업2우B,"11,500",-350,2019/05/07,2019/05/08,2019/05/22
20,014825,동원시스템즈우,"29,750",50,2019/04/22,2019/04/23,2019/05/09
19,000885,한화우,"44,050",850,2019/04/17,2019/04/18,2019/05/08
18,011155,CJ씨푸드1우,"40,000",-100,2019/04/17,2019/04/18,2019/05/03
17,001745,SK네트웍스우,"100,000","-1,000",2019/04/17,2019/04/18,2019/05/03
16,033250,체시스,"1,855",10,2019/04/17,2019/04/18,2019/05/03
15,267850,아시아나IDT,"23,100",-100,2019/04/16,2019/04/17,2019/05/02
14,020560,아시아나항공,"4,210",00,2019/04/16,2019/04/17,2019/05/02
13,002995,금호산업우,"32,100",-300,2019/04/15,2019/04/16,2019/05/07
12,003495,대한항공우,"38,600","1,000",2019/04/11,2019/04/12,2019/04/29
11,18064K,한진칼우,"44,900",-400,2019/04/10,2019/04/11,2019/05/03
10,014285,금강공업우,"10,400",-250,2019/03/19,2019/03/20,2019/04/05
9,001140,국보,"1,730",-85,2019/03/13,2019/03/14,2019/03/28
8,014915,성문전자우,"7,720",-390,2019/02/14,2019/02/15,2019/03/04
7,070960,용평리조트,"4,085",95,2019/02/07,2019/02/08,2019/02/22
6,009320,대우부품,"2,685",30,2019/01/21,2019/01/22,2019/02/08
5,014915,성문전자우,"7,720",-390,2019/01/16,2019/01/17,2019/01/28
4,016380,동부제철,"11,250",600,2019/01/09,2019/01/10,2019/01/24
3,014990,인디에프,"1,455",-45,2019/01/07,2019/01/08,2019/01/24
2,009320,대우부품,"2,685",30,2018/12/18,2018/12/19,2019/01/08
1,008350,남선알미늄,"4,560",-50,2018/12/17,2018/12/18,2019/01/04
142,069620,대웅제약,"157,000","-10,000",2020/12/21,2020/12/22,-
141,092200,디아이씨,"2,710",-245,2020/12/21,2020/12/22,-
140,009900,명신산업,"41,100","-4,600",2020/12/18,2020/12/21,-
139,000390,삼화페인트,"13,550","-1,350",2020/12/18,2020/12/21,-
138,063160,종근당바이오,"77,500","-4,500",2020/12/15,2020/12/16,-
137,003090,대웅,"47,400","-7,000",2020/12/14,2020/12/15,-
136,004410,서울식품,246,-3,2020/12/08,2020/12/09,2020/12/23
135,023960,에쓰씨엔지니어링,"5,330",455,2020/12/07,2020/12/08,-
134,014160,대영포장,"1,680",-35,2020/12/04,2020/12/07,2020/12/21
133,001020,페이퍼코리아,"2,405",-25,2020/11/27,2020/11/30,2020/12/14
132,030790,비케이탑스,"14,050","-1,550",2020/11/23,2020/11/24,2020/12/11
131,004830,덕성,"8,120",210,2020/11/19,2020/11/20,2020/12/04
130,004835,덕성우,"13,700",300,2020/11/17,2020/11/18,2020/12/02
129,020560,아시아나항공,"4,210",00,2020/11/17,2020/11/18,2020/12/02
128,006890,태경케미컬,"13,950",250,2020/11/13,2020/11/16,2020/12/04
127,092230,KPX홀딩스,"63,400","1,100",2020/11/12,2020/11/13,2020/11/27
126,00806K,대덕1우,"8,670",50,2020/10/27,2020/10/28,2020/11/11
125,001470,삼부토건,"4,250",-180,2020/10/26,2020/10/27,2020/11/23
124,000545,흥국화재우,"7,340",-340,2020/10/20,2020/10/21,2020/11/04
123,092220,KEC,"2,805",-130,2020/10/19,2020/10/20,2020/11/03
122,002785,진흥기업우B,"6,010",-100,2020/10/15,2020/10/16,2020/10/30
121,003415,쌍용양회우,-,-,2020/10/14,2020/10/15,2020/11/02
120,013700,까뮤이앤씨,"3,195",195,2020/10/12,2020/10/13,2020/10/27
